,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5
2,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.5
3,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0
4,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74
6,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5
7,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5
8,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2
9,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95
10,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95
11,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49
12,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6
13,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0
14,Pune,2012,85000,Diesel,Automatic,Second,12.35,2179.0,115.0,5.0,17.5
15,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0
16,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4
17,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99
18,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34
19,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0
20,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55
21,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25
22,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5
23,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87
24,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85
25,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25
26,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25
27,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75
28,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9
29,Mumbai,2007,262000,Diesel,Manual,Third & Above,12.8,2494.0,102.0,7.0,4.0
30,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75
31,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75
32,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5
33,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5
34,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98
35,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85
36,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63
37,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85
38,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0
39,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0
40,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25
41,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53
42,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58
43,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74
44,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85
45,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11
46,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25
47,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95
48,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85
49,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5
50,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43
51,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25
52,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3
53,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85
54,Chennai,2015,54000,Petrol,Manual,Third & Above,18.9,1197.0,82.0,5.0,3.6
55,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99
56,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3
57,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07
58,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75
59,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25
60,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5
61,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75
62,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7
63,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0
64,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5
65,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5
66,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85
67,Coimbatore,2019,15369,Diesel,Automatic,First,12.06,1950.0,194.0,5.0,35.67
68,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15
69,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5
70,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5
71,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65
72,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48
73,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92
74,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46
75,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5
76,Chennai,2006,230000,Petrol,Manual,Third & Above,12.4,1998.0,132.0,8.0,4.5
77,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75
78,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75
79,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5
80,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82
81,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8
82,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11
83,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25
84,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9
85,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25
